state,value
Alaska,5733
Alabama,6894
Arkansas,5473
Arizona,10165
California,11984
Colorado,9958
Connecticut,20939
Delaware,10515
Florida,7589
Georgia,9573
Hawaii,10873
Iowa,5567
Idaho,5467
Illinois,7008
Indiana,6081
Kansas,9160
Kentucky,6020
Louisiana,5395
Maine,22078
Maryland,11599
Massachusetts,19642
Michigan,6580
Minnesota,6323
Missouri,9126
Mississippi,5874
Montana,6818
North Carolina,9179
North Dakota,2525
Nebraska,3740
New Hampshire,18154
New Jersey,12510
New Mexico,7855
Nevada,8969
New York,14369
Ohio,6066
Oklahoma,5794
Oregon,7651
Pennsylvania,9892
Rhode Island,12831
South Carolina,7157
South Dakota,3074
Tennessee,8339
Texas,7948
Utah,9096
Virginia,12329
Vermont,20071
Washington,9218
Wisconsin,4242
West Virginia,6045
Wyoming,8558
District of Columbia,21855
